"Tip_Label","Family","Habitat","Habitat_Density","Migration","Trophic_Level","Trophic_Niche","Primary_Lifestyle","clutch_log","dev_mod_all"
"Aburria_aburri","Cracidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Insessorial",0.301029996,"precocial"
"Acryllium_vulturinum","Numididae","Shrubland","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",0.77815125,"precocial"
"Agelastes_meleagrides","Numididae","Forest","Dense","Sedentary","Omnivore","Omnivore","Terrestrial",1.079181246,"precocial"
"Aix_sponsa","Anatidae","Wetland","Open","Sedentary","Herbivore","Omnivore","Generalist",1.061640934,"precocial"
"Alectoris_rufa","Phasianidae","Shrubland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",1.091227166,"precocial"
"Alectura_lathami","Megapodiidae","Forest","Dense","Sedentary","Herbivore","Omnivore","Terrestrial",1.15715444,"precocial"
"Alopochen_aegyptiaca","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Omnivore","Generalist",0.905913879,"precocial"
"Amazonetta_brasiliensis","Anatidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Aquatic",0.929418926,"precocial"
"Ammoperdix_heyi","Phasianidae","Desert_rock","Open","Sedentary","Herbivore","Omnivore","Terrestrial",0.901730692,"precocial"
"Anas_platyrhynchos","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Herbivore_aquatic","Aquatic",1.015918334,"precocial"
"Anhima_cornuta","Anhimidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Terrestrial",0.653212514,"precocial"
"Anser_anser","Anatidae","Wetland","Open","Migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.696793085,"precocial"
"Anseranas_semipalmata","Anseranatidae","Wetland","Open","Partially_migratory","Herbivore","Omnivore","Terrestrial",0.912487761,"semi-precocial"
"Argusianus_argus","Phasianidae","Forest","Dense","Sedentary","Herbivore","Frugivore","Terrestrial",0.301029996,"precocial"
"Aythya_affinis","Anatidae","Wetland","Open","Migratory","Omnivore","Aquatic_predator","Aquatic",0.997641185,"precocial"
"Bambusicola_thoracicus","Phasianidae","Forest","Semi_open","Sedentary","Herbivore","Omnivore","Terrestrial",0.698970004,"precocial"
"Biziura_lobata","Anatidae","Wetland","Open","Partially_migratory","Carnivore","Aquatic_predator","Aquatic",0.397940009,"precocial"
"Bonasa_umbellus","Phasianidae","Shrubland","Dense","Sedentary","Herbivore","Herbivore_terrestrial","Generalist",1.038288911,"precocial"
"Branta_bernicla","Anatidae","Grassland","Open","Migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.600700696,"precocial"
"Bucephala_islandica","Anatidae","Wetland","Open","Partially_migratory","Carnivore","Aquatic_predator","Aquatic",0.976961024,"precocial"
"Cairina_moschata","Anatidae","Wetland","Open","Sedentary","Omnivore","Omnivore","Generalist",1.041392685,"precocial"
"Callipepla_squamata","Odontophoridae","Shrubland","Open","Sedentary","Herbivore","Omnivore","Terrestrial",1.111430552,"precocial"
"Callonetta_leucophrys","Anatidae","Wetland","Open","Partially_migratory","Herbivore","Herbivore_aquatic","Aquatic",0.954242509,"precocial"
"Catreus_wallichi","Phasianidae","Grassland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.954242509,"precocial"
"Centrocercus_urophasianus","Phasianidae","Shrubland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.866730271,"precocial"
"Cereopsis_novaehollandiae","Anatidae","Shrubland","Open","Partially_migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.626682483,"precocial"
"Chauna_torquata","Anhimidae","Wetland","Open","Sedentary","Herbivore","Herbivore_aquatic","Terrestrial",0.596597096,"precocial"
"Chen_caerulescens","Anatidae","Grassland","Open","Migratory","Herbivore","Herbivore_terrestrial","Terrestrial",0.635148497,"precocial"
"Chenonetta_jubata","Anatidae","Wetland","Open","Sedentary","Herbivore","Herbivore_terrestrial","Terrestrial",0.992332559,"precocial"
