Tip_Label,Status,Family,Habitat,Habitat_Density,Trophic_Level,Trophic_Niche,Primary_Lifestyle
Aburria_aburri,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Insessorial
Acryllium_vulturinum,Extant,Numididae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Agelastes_meleagrides,Extant,Numididae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Aix_sponsa,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Generalist
Alectoris_rufa,Extant,Phasianidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Alectura_lathami,Extant,Megapodiidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Alopochen_aegyptiaca,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Generalist
Amazonetta_brasiliensis,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Ammoperdix_heyi,Extant,Phasianidae,Desert_rock,Open,Herbivore,Omnivore,Terrestrial
Anas_platyrhynchos,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anhima_cornuta,Extant,Anhimidae,Wetland,Open,Herbivore,Herbivore_aquatic,Terrestrial
Anser_anser,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anseranas_semipalmata,Extant,Anseranatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Argusianus_argus,Extant,Phasianidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Aythya_affinis,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Bambusicola_thoracicus,Extant,Phasianidae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
Biziura_lobata,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Bonasa_umbellus,Extant,Phasianidae,Shrubland,Dense,Herbivore,Herbivore_terrestrial,Generalist
Branta_bernicla,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_hylobadistes,Extinct,Anatidae,Shrubland,Semi_open,Herbivore,Herbivore_terrestrial,Terrestrial
Branta_rhuax,Extinct,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Bucephala_islandica,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Cairina_moschata,Extant,Anatidae,Wetland,Open,Omnivore,Omnivore,Generalist
Callipepla_squamata,Extant,Odontophoridae,Shrubland,Open,Herbivore,Omnivore,Terrestrial
Callonetta_leucophrys,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Catreus_wallichi,Extant,Phasianidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Centrocercus_urophasianus,Extant,Phasianidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Cereopsis_novaehollandiae,Extant,Anatidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chauna_torquata,Extant,Anhimidae,Wetland,Open,Herbivore,Herbivore_aquatic,Terrestrial
Chen_caerulescens,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chenonetta_jubata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chloephaga_rubidiceps,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Chrysolophus_pictus,Extant,Phasianidae,Forest,Dense,Herbivore,Herbivore_terrestrial,Terrestrial
Cnemiornis_calcitrans,Extinct,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Colinus_virginianus,Extant,Odontophoridae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Conflicto_antarcticus,Extinct,Stem_Anseriform,Marine_coastal,Open,Carnivore,Aquatic_predator,Aquatic
Coscoroba_coscoroba,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Terrestrial
Coturnix_coturnix,Extant,Phasianidae,Grassland,Open,Herbivore,Granivore,Terrestrial
Crax_rubra,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Terrestrial
Crossoptilon_auritum,Extant,Phasianidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Cyanochen_cyanoptera,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Cygnus_cygnus,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Cyrtonyx_montezumae,Extant,Odontophoridae,Forest,Semi_open,Herbivore,Omnivore,Terrestrial
