Tip_Label,Family,Habitat,Habitat_Density,Migration,Trophic_Level,Trophic_Niche,Primary_Lifestyle,clutch_log,dev_mod_all
Aburria_aburri,Cracidae,Forest,Dense,Sedentary,Herbivore,Frugivore,Insessorial,0.301029996,precocial
Acryllium_vulturinum,Numididae,Shrubland,Semi_open,Sedentary,Herbivore,Omnivore,Terrestrial,0.77815125,precocial
Agelastes_meleagrides,Numididae,Forest,Dense,Sedentary,Omnivore,Omnivore,Terrestrial,1.079181246,precocial
Aix_galericulata,Anatidae,Forest,Open,Migratory,Herbivore,Herbivore_aquatic,Generalist,1.030397301,precocial
Aix_sponsa,Anatidae,Wetland,Open,Sedentary,Herbivore,Omnivore,Generalist,1.061640934,precocial
Alectoris_rufa,Phasianidae,Shrubland,Open,Sedentary,Herbivore,Herbivore_terrestrial,Terrestrial,1.091227166,precocial
Alectura_lathami,Megapodiidae,Forest,Dense,Sedentary,Herbivore,Omnivore,Terrestrial,1.15715444,precocial
Alopochen_aegyptiaca,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Omnivore,Generalist,0.905913879,precocial
Amazonetta_brasiliensis,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Aquatic,0.929418926,precocial
Ammoperdix_heyi,Phasianidae,Desert_rock,Open,Sedentary,Herbivore,Omnivore,Terrestrial,0.901730692,precocial
Anas_acuta,Anatidae,Wetland,Open,Migratory,Herbivore,Herbivore_aquatic,Aquatic,0.898313723,precocial
Anas_americana,Anatidae,Wetland,Open,Migratory,Herbivore,Omnivore,Terrestrial,0.931712067,precocial
Anas_aucklandica,Anatidae,Wetland,Open,Partially_migratory,Carnivore,Aquatic_predator,Aquatic,0.698970004,precocial
Anas_bahamensis,Anatidae,Wetland,Open,Partially_migratory,Omnivore,Herbivore_aquatic,Aquatic,0.896250562,precocial
Anas_bernieri,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Generalist,0.720159303,precocial
Anas_castanea,Anatidae,Wetland,Open,Partially_migratory,Omnivore,Aquatic_predator,Aquatic,0.961421094,precocial
Anas_chlorotis,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Aquatic,0.740362689,precocial
Anas_clypeata,Anatidae,Wetland,Open,Migratory,Omnivore,Aquatic_predator,Aquatic,0.997095017,precocial
Anas_crecca,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Aquatic,0.973512696,precocial
Anas_cyanoptera,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Aquatic,0.994866823,precocial
Anas_discors,Anatidae,Wetland,Open,Migratory,Omnivore,Herbivore_aquatic,Aquatic,1.003245055,precocial
Anas_falcata,Anatidae,Wetland,Open,Migratory,Herbivore,Herbivore_aquatic,Aquatic,0.973512696,precocial
Anas_flavirostris,Anatidae,Wetland,Open,Partially_migratory,Omnivore,Herbivore_aquatic,Aquatic,0.802798654,precocial
Anas_formosa,Anatidae,Wetland,Open,Migratory,Herbivore,Herbivore_aquatic,Aquatic,0.877946952,precocial
Anas_georgica,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Aquatic,0.929418926,precocial
Anas_laysanensis,Anatidae,Wetland,Open,Sedentary,Carnivore,Aquatic_predator,Aquatic,0.817885816,precocial
Anas_luzonica,Anatidae,Wetland,Open,Sedentary,Omnivore,Herbivore_aquatic,Aquatic,0,precocial
Anas_melleri,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Aquatic,0.877946952,precocial
Anas_penelope,Anatidae,Wetland,Open,Migratory,Herbivore,Omnivore,Terrestrial,0.950202524,precocial
Anas_platyrhynchos,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Aquatic,1.015918334,precocial
Anas_poecilorhyncha,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Aquatic,0.901276646,precocial
