Tip_Label,Status,Family,Habitat,Habitat_Density,Trophic_Level,Trophic_Niche,Primary_Lifestyle
Aburria_aburri,Extant,Cracidae,Forest,Dense,Herbivore,Frugivore,Insessorial
Acryllium_vulturinum,Extant,Numididae,Shrubland,Semi_open,Herbivore,Omnivore,Terrestrial
Agelastes_meleagrides,Extant,Numididae,Forest,Dense,Omnivore,Omnivore,Terrestrial
Aix_galericulata,Extant,Anatidae,Forest,Open,Herbivore,Herbivore_aquatic,Generalist
Aix_sponsa,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Generalist
Alectoris_rufa,Extant,Phasianidae,Shrubland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Alectura_lathami,Extant,Megapodiidae,Forest,Dense,Herbivore,Omnivore,Terrestrial
Alopochen_aegyptiaca,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Generalist
Amazonetta_brasiliensis,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Ammoperdix_heyi,Extant,Phasianidae,Desert_rock,Open,Herbivore,Omnivore,Terrestrial
Anas_acuta,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_americana,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Anas_aucklandica,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Anas_bahamensis,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_bernieri,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Generalist
Anas_castanea,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Anas_chlorotis,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_clypeata,Extant,Anatidae,Wetland,Open,Omnivore,Aquatic_predator,Aquatic
Anas_crecca,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_cyanoptera,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_discors,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_falcata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_flavirostris,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_formosa,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_georgica,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_laysanensis,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Anas_luzonica,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_melleri,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_penelope,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Anas_platyrhynchos,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_poecilorhyncha,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_querquedula,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_rhynchotis,Extant,Anatidae,Wetland,Open,Carnivore,Aquatic_predator,Aquatic
Anas_rubripes,Extant,Anatidae,Wetland,Open,Omnivore,Herbivore_aquatic,Aquatic
Anas_sibilatrix,Extant,Anatidae,Wetland,Open,Herbivore,Omnivore,Terrestrial
Anas_strepera,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_superciliosa,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_undulata,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_aquatic,Aquatic
Anas_wyvilliana,Extant,Anatidae,Riverine,Open,Omnivore,Omnivore,Generalist
Anhima_cornuta,Extant,Anhimidae,Wetland,Open,Herbivore,Herbivore_aquatic,Terrestrial
Anser_albifrons,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anser_anser,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anser_brachyrhynchus,Extant,Anatidae,Grassland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anser_cygnoides,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
Anser_fabalis,Extant,Anatidae,Wetland,Open,Herbivore,Herbivore_terrestrial,Terrestrial
